0.png	 9-4=?
14372.png	 6+7=?
14373.png	 1+2=?
14374.png	 4-6=?
14375.png	 7x5=?
14376.png	 9x0=?
14377.png	 5x6=?
14378.png	 0-5=?
14379.png	 6-2=?
14380.png	 1x7=?
14381.png	 0-3=?
14382.png	 2x9=?
14383.png	 5-8=?
14384.png	 3-0=?
14385.png	 0+5=?
14386.png	 7+8=?
14387.png	 9+3=?
14388.png	 8-6=?
14389.png	 2-6=?
14390.png	 6x2=?
14391.png	 3x0=?
14392.png	 0x8=?
14393.png	 4-9=?
14394.png	 8x7=?
14395.png	 2-4=?
14396.png	 9x4=?
14397.png	 5+8=?
14398.png	 6-5=?
14399.png	 6-4=?
14400.png	 7-8=?
14401.png	 6+5=?
14402.png	 0-0=?
14403.png	 9+5=?
14404.png	 8+9=?
14405.png	 0+3=?
14406.png	 3x0=?
14407.png	 8x2=?
14408.png	 0+6=?
14409.png	 6x1=?
14410.png	 7+1=?
14411.png	 7+2=?
14412.png	 7x2=?
14413.png	 7+9=?
14414.png	 2x9=?
14415.png	 3x6=?
14416.png	 5x9=?
14417.png	 9-4=?
14418.png	 6x9=?
14419.png	 0x6=?
14420.png	 8-4=?
14421.png	 2-8=?
14422.png	 6x4=?
14423.png	 6-8=?
14424.png	 3-8=?
14425.png	 6x8=?
14426.png	 4-0=?
14427.png	 6+2=?
14428.png	 3-6=?
14429.png	 1+0=?
14430.png	 1-1=?
14431.png	 1-4=?
14432.png	 5+8=?
14433.png	 7+0=?
14434.png	 7+8=?
14435.png	 2x1=?
14436.png	 6+2=?
14437.png	 5x2=?
14438.png	 0x6=?
14439.png	 8-3=?
14440.png	 6x1=?
14441.png	 0-1=?
14442.png	 7-2=?
14443.png	 2+3=?
14444.png	 7-8=?
14445.png	 6x4=?
14446.png	 0x1=?
14447.png	 1-3=?
14448.png	 9+8=?
14449.png	 5-7=?
14450.png	 4+5=?
14451.png	 5-5=?
14452.png	 5-2=?
14453.png	 4+7=?
14454.png	 4-1=?
14455.png	 9+5=?
14456.png	 6x9=?
14457.png	 0+5=?
14458.png	 2-6=?
14459.png	 2x1=?
14460.png	 5x4=?
14461.png	 8-2=?
14462.png	 5x2=?
14463.png	 6-8=?
14464.png	 6+6=?
14465.png	 3x3=?
14466.png	 8+5=?
14467.png	 4x8=?
14468.png	 7x1=?
14469.png	 0-8=?
14470.png	 8+9=?
14471.png	 2-4=?
14472.png	 2-7=?
14473.png	 9+5=?
14474.png	 9x4=?
14475.png	 0x9=?
14476.png	 0x6=?
14477.png	 1-0=?
14478.png	 1-0=?
14479.png	 1+2=?
14480.png	 7x6=?
14481.png	 0+4=?
14482.png	 6x3=?
14483.png	 5x8=?
14484.png	 0-6=?
14485.png	 4+3=?
14486.png	 6+1=?
14487.png	 9+2=?
14488.png	 3x8=?
14489.png	 3-5=?
14490.png	 7-3=?
14491.png	 7+6=?
14492.png	 1-6=?
14493.png	 0-0=?
14494.png	 0+5=?
14495.png	 4-8=?
14496.png	 9+1=?
14497.png	 0x3=?
14498.png	 8-0=?
14499.png	 8+1=?
14500.png	 5+3=?
14501.png	 3-4=?
14502.png	 3-2=?
14503.png	 5+6=?
14504.png	 6-0=?
14505.png	 0+0=?
14506.png	 1+7=?
14507.png	 1-7=?
14508.png	 1-2=?
14509.png	 9+7=?
14510.png	 1+1=?
14511.png	 9-6=?
14512.png	 6+8=?
14513.png	 1+6=?
14514.png	 4-5=?
14515.png	 9x5=?
14516.png	 2-9=?
14517.png	 4-8=?
14518.png	 3-1=?
14519.png	 9+7=?
14520.png	 0+0=?
14521.png	 3+0=?
14522.png	 6x7=?
14523.png	 5-8=?
14524.png	 4-2=?
14525.png	 9-9=?
14526.png	 6-2=?
14527.png	 5+8=?
14528.png	 8x9=?
14529.png	 0-2=?
14530.png	 1+9=?
14531.png	 6-6=?
14532.png	 0-4=?
14533.png	 9-5=?
14534.png	 2-6=?
14535.png	 1-5=?
14536.png	 4x5=?
14537.png	 2x9=?
14538.png	 2+6=?
14539.png	 9-0=?
14540.png	 2x8=?
14541.png	 5+1=?
14542.png	 6-6=?
14543.png	 1x5=?
14544.png	 1-1=?
14545.png	 0x6=?
14546.png	 8+5=?
14547.png	 6+3=?
14548.png	 3-1=?
14549.png	 3-9=?
14550.png	 9x7=?
14551.png	 0+6=?
14552.png	 8+3=?
14553.png	 2-1=?
14554.png	 4+3=?
14555.png	 2-2=?
14556.png	 5-8=?
14557.png	 4-5=?
14558.png	 7x4=?
14559.png	 1+9=?
14560.png	 3-6=?
14561.png	 2-6=?
14562.png	 8+8=?
14563.png	 7+8=?
14564.png	 2x0=?
14565.png	 8-2=?
14566.png	 2-7=?
14567.png	 8x2=?
14568.png	 8x2=?
14569.png	 7+0=?
14570.png	 1-7=?
14571.png	 0x6=?
14572.png	 8-9=?
14573.png	 3+5=?
14574.png	 0+3=?
14575.png	 1-2=?
14576.png	 0x1=?
14577.png	 2x3=?
14578.png	 5-4=?
14579.png	 8+7=?
14580.png	 1-0=?
14581.png	 9+7=?
14582.png	 4x1=?
14583.png	 1+4=?
14584.png	 2-5=?
14585.png	 9+7=?
14586.png	 7+7=?
14587.png	 5x0=?
14588.png	 0+3=?
14589.png	 4x3=?
14590.png	 2+8=?
14591.png	 1x0=?
14592.png	 3+4=?
14593.png	 8+0=?
14594.png	 0-4=?
14595.png	 3+7=?
14596.png	 1-7=?
14597.png	 6x7=?
14598.png	 7-1=?
14599.png	 0x0=?
14600.png	 2-5=?
14601.png	 0+5=?
14602.png	 0+7=?
14603.png	 6-8=?
14604.png	 7x7=?
14605.png	 8-6=?
14606.png	 5-0=?
14607.png	 7+7=?
14608.png	 3-5=?
14609.png	 9x6=?
14610.png	 6-7=?
14611.png	 3x1=?
14612.png	 0x5=?
14613.png	 7-0=?
14614.png	 7x6=?
14615.png	 3x5=?
14616.png	 6-3=?
14617.png	 4+0=?
14618.png	 3-2=?
14619.png	 8x8=?
14620.png	 6-5=?
14621.png	 5-3=?
14622.png	 7x8=?
14623.png	 0x0=?
14624.png	 1x2=?
14625.png	 8x9=?
14626.png	 8+4=?
14627.png	 5-7=?
14628.png	 6x6=?
14629.png	 2x8=?
14630.png	 4x2=?
14631.png	 7x8=?
14632.png	 9x1=?
14633.png	 0x6=?
14634.png	 1+4=?
14635.png	 6+0=?
14636.png	 5-0=?
14637.png	 3-8=?
14638.png	 2+0=?
14639.png	 4-1=?
14640.png	 5x0=?
14641.png	 8+2=?
14642.png	 1+6=?
14643.png	 6-0=?
14644.png	 2x7=?
14645.png	 0+4=?
14646.png	 1x8=?
14647.png	 9-4=?
14648.png	 5+7=?
14649.png	 1-6=?
14650.png	 9x0=?
14651.png	 0+1=?
14652.png	 3x2=?
14653.png	 7+2=?
14654.png	 1x1=?
14655.png	 6+8=?
14656.png	 1-0=?
14657.png	 5x9=?
14658.png	 0-3=?
14659.png	 3+4=?
14660.png	 2-8=?
14661.png	 3x5=?
14662.png	 1+1=?
14663.png	 9+3=?
14664.png	 3+6=?
14665.png	 6+8=?
14666.png	 1+0=?
14667.png	 4+6=?
14668.png	 5-6=?
14669.png	 3-0=?
14670.png	 1x2=?
14671.png	 0-6=?
14672.png	 8+4=?
14673.png	 7-8=?
14674.png	 5-5=?
14675.png	 1x3=?
14676.png	 2-3=?
14677.png	 2+2=?
14678.png	 3+2=?
14679.png	 0+4=?
14680.png	 5-4=?
14681.png	 8+1=?
14682.png	 1x7=?
14683.png	 2+9=?
14684.png	 0x3=?
14685.png	 6-6=?
14686.png	 4+2=?
14687.png	 1-2=?
14688.png	 3+5=?
14689.png	 2+6=?
14690.png	 1x6=?
14691.png	 8x5=?
14692.png	 1+8=?
14693.png	 7x9=?
14694.png	 4x0=?
14695.png	 2+4=?
14696.png	 0-3=?
14697.png	 1x4=?
14698.png	 6+8=?
14699.png	 0-9=?
14700.png	 4x6=?
14701.png	 6+3=?
14702.png	 3-1=?
14703.png	 6-5=?
14704.png	 6x9=?
14705.png	 1+8=?
14706.png	 3-5=?
14707.png	 4+2=?
14708.png	 2-9=?
14709.png	 7-4=?
14710.png	 7+8=?
14711.png	 6-5=?
14712.png	 0x6=?
14713.png	 8+6=?
14714.png	 1+1=?
14715.png	 8+3=?
14716.png	 7+2=?
14717.png	 6+0=?
14718.png	 7+9=?
14719.png	 0-4=?
14720.png	 2x5=?
14721.png	 1+7=?
14722.png	 4-1=?
14723.png	 1x6=?
14724.png	 8+7=?
14725.png	 8+8=?
14726.png	 4x0=?
14727.png	 1+3=?
14728.png	 5+3=?
14729.png	 8-2=?
14730.png	 5+3=?
14731.png	 2-0=?
14732.png	 0+7=?
14733.png	 9x3=?
14734.png	 9-7=?
14735.png	 7+9=?
14736.png	 9-4=?
14737.png	 6x4=?
14738.png	 0+7=?
14739.png	 9x0=?
14740.png	 9-3=?
14741.png	 0+4=?
14742.png	 0-1=?
14743.png	 8-5=?
14744.png	 7+6=?
14745.png	 3-9=?
14746.png	 9x5=?
14747.png	 9x7=?
14748.png	 0x8=?
14749.png	 8x6=?
14750.png	 5-8=?
14751.png	 5+6=?
14752.png	 8-7=?
14753.png	 4x5=?
14754.png	 9+7=?
14755.png	 2+4=?
14756.png	 0-3=?
14757.png	 5-8=?
14758.png	 2+9=?
14759.png	 2+8=?
14760.png	 8-9=?
14761.png	 2-7=?
14762.png	 5x1=?
14763.png	 8+4=?
14764.png	 2+5=?
14765.png	 9+8=?
14766.png	 6x4=?
14767.png	 2x1=?
14768.png	 9+2=?
14769.png	 9x5=?
14770.png	 2x6=?
14771.png	 6+6=?
14772.png	 1x4=?
14773.png	 6+1=?
14774.png	 5+1=?
14775.png	 4-8=?
14776.png	 3-4=?
14777.png	 3-8=?
14778.png	 2+1=?
14779.png	 2+7=?
14780.png	 3-4=?
14781.png	 1-2=?
14782.png	 3x0=?
14783.png	 2+5=?
14784.png	 8-3=?
14785.png	 2x1=?
14786.png	 7x5=?
14787.png	 0x9=?
14788.png	 4+5=?
14789.png	 6x2=?
14790.png	 7-0=?
14791.png	 4+1=?
14792.png	 7+8=?
14793.png	 5x9=?
14794.png	 4+1=?
14795.png	 5+9=?
14796.png	 7x9=?
14797.png	 0-2=?
14798.png	 8x6=?
14799.png	 8+5=?
14800.png	 3x0=?
14801.png	 8-5=?
14802.png	 5-8=?
14803.png	 6+2=?
14804.png	 2-8=?
14805.png	 8+6=?
14806.png	 2-7=?
14807.png	 9-7=?
14808.png	 7+4=?
14809.png	 9+6=?
14810.png	 5-5=?
14811.png	 0x7=?
14812.png	 0+4=?
14813.png	 4-3=?
14814.png	 7x6=?
14815.png	 9+7=?
14816.png	 6-6=?
14817.png	 7+6=?
14818.png	 8-6=?
14819.png	 7x5=?
14820.png	 7x1=?
14821.png	 4x6=?
14822.png	 2x4=?
14823.png	 6+3=?
14824.png	 2x0=?
14825.png	 8+8=?
14826.png	 9+2=?
14827.png	 5+1=?
14828.png	 9x8=?
14829.png	 0x2=?
14830.png	 8x4=?
14831.png	 6+6=?
14832.png	 6+3=?
14833.png	 0+3=?
14834.png	 1x4=?
14835.png	 0+1=?
14836.png	 6+2=?
14837.png	 0x5=?
14838.png	 6+8=?
14839.png	 3-9=?
14840.png	 9x2=?
14841.png	 1+9=?
14842.png	 7+7=?
14843.png	 6-0=?
14844.png	 7x8=?
14845.png	 2+2=?
14846.png	 0-4=?
14847.png	 9x8=?
14848.png	 0+4=?
14849.png	 3x9=?
14850.png	 6x6=?
14851.png	 4-4=?
14852.png	 7-9=?
14853.png	 2+4=?
14854.png	 0-3=?
14855.png	 6-0=?
14856.png	 3-0=?
14857.png	 5+8=?
14858.png	 4+9=?
14859.png	 2x9=?
14860.png	 0-8=?
14861.png	 9x4=?
14862.png	 8-2=?
14863.png	 2x5=?
14864.png	 5-5=?
14865.png	 5-0=?
14866.png	 5-8=?
14867.png	 1+5=?
14868.png	 5x0=?
14869.png	 3x4=?
14870.png	 9x8=?
14871.png	 8x2=?
14872.png	 3-9=?
14873.png	 3x2=?
14874.png	 6-0=?
14875.png	 9+1=?
14876.png	 2x3=?
14877.png	 3x5=?
14878.png	 8x2=?
14879.png	 3-8=?
14880.png	 2-8=?
14881.png	 0+3=?
14882.png	 7+3=?
14883.png	 3-3=?
14884.png	 0-2=?
14885.png	 2x2=?
14886.png	 5-5=?
14887.png	 9-1=?
14888.png	 3x6=?
14889.png	 3-3=?
14890.png	 8-1=?
14891.png	 0x0=?
14892.png	 0-3=?
14893.png	 4x6=?
14894.png	 2x8=?
14895.png	 7+8=?
14896.png	 3+6=?
14897.png	 4+5=?
14898.png	 9-2=?
14899.png	 6x6=?
14900.png	 4-5=?
14901.png	 0+0=?
14902.png	 2x9=?
14903.png	 6-0=?
14904.png	 9+1=?
14905.png	 3x8=?
14906.png	 7-7=?
14907.png	 1x2=?
14908.png	 9-9=?
14909.png	 2x7=?
14910.png	 8x6=?
14911.png	 0x5=?
14912.png	 7x2=?
14913.png	 6-8=?
14914.png	 9+7=?
14915.png	 7+0=?
14916.png	 3+2=?
14917.png	 7+1=?
14918.png	 1+3=?
14919.png	 1x3=?
14920.png	 4x2=?
14921.png	 9+5=?
14922.png	 6+7=?
14923.png	 0-2=?
14924.png	 0x9=?
14925.png	 7-7=?
14926.png	 8x9=?
14927.png	 8x6=?
14928.png	 6x1=?
14929.png	 6x0=?
14930.png	 6+9=?
14931.png	 8-3=?
14932.png	 8x2=?
14933.png	 1+5=?
14934.png	 1x3=?
14935.png	 2-8=?
14936.png	 0x5=?
14937.png	 4x8=?
14938.png	 2-7=?
14939.png	 0-0=?
14940.png	 2-6=?
14941.png	 7x4=?
14942.png	 0x9=?
14943.png	 0x9=?
14944.png	 6+4=?
14945.png	 2+3=?
14946.png	 6+1=?
14947.png	 8-7=?
14948.png	 7-4=?
14949.png	 0+1=?
14950.png	 6x1=?
14951.png	 4x3=?
14952.png	 4x3=?
14953.png	 1-9=?
14954.png	 3-3=?
14955.png	 8x1=?
14956.png	 3x0=?
14957.png	 0+7=?
14958.png	 4-1=?
14959.png	 2+5=?
14960.png	 5x4=?
14961.png	 2-7=?
14962.png	 2+1=?
14963.png	 0-7=?
14964.png	 9+6=?
14965.png	 5-5=?
14966.png	 9-7=?
14967.png	 8+9=?
14968.png	 4x0=?
14969.png	 6-3=?
14970.png	 8+3=?
14971.png	 5-3=?
14972.png	 4x5=?
14973.png	 7+4=?
14974.png	 7+8=?
14975.png	 1+6=?
14976.png	 7x8=?
14977.png	 5x0=?
14978.png	 2-6=?
14979.png	 3+9=?
14980.png	 0-2=?
14981.png	 0+4=?
14982.png	 8+6=?
14983.png	 5x9=?
14984.png	 0-4=?
14985.png	 3-6=?
14986.png	 1x7=?
14987.png	 0x1=?
14988.png	 6+1=?
14989.png	 3+4=?
14990.png	 0x0=?
14991.png	 1x3=?
14992.png	 4-4=?
14993.png	 4+4=?
14994.png	 4x9=?
14995.png	 8x2=?
14996.png	 9x3=?
14997.png	 4x6=?
14998.png	 8+7=?
14999.png	 0-3=?
15000.png	 6x9=?
15001.png	 9x3=?
15002.png	 1x9=?
15003.png	 3x0=?
15004.png	 7x2=?
15005.png	 9+6=?
15006.png	 6-3=?
15007.png	 2+9=?
15008.png	 0+2=?
15009.png	 0-6=?
15010.png	 5x7=?
15011.png	 1x5=?
15012.png	 4+9=?
15013.png	 0-2=?
15014.png	 4x6=?
15015.png	 1-7=?
15016.png	 1x4=?
15017.png	 6x9=?
15018.png	 3-2=?
15019.png	 4-4=?
15020.png	 9+2=?
15021.png	 8+2=?
15022.png	 5+2=?
15023.png	 4x1=?
15024.png	 5x9=?
15025.png	 7-7=?
15026.png	 8+9=?
15027.png	 3x6=?
15028.png	 9-8=?
15029.png	 6-3=?
15030.png	 9x9=?
15031.png	 4x6=?
15032.png	 9-8=?
15033.png	 2x4=?
15034.png	 2x2=?
15035.png	 6-5=?
15036.png	 6x4=?
15037.png	 7+0=?
15038.png	 3x7=?
15039.png	 7-8=?
15040.png	 5x4=?
15041.png	 6-5=?
15042.png	 5+5=?
15043.png	 6x0=?
15044.png	 7+1=?
15045.png	 4-3=?
15046.png	 8-4=?
15047.png	 7x1=?
15048.png	 7-2=?
15049.png	 9x1=?
15050.png	 7-4=?
15051.png	 5+7=?
15052.png	 5x8=?
15053.png	 4x8=?
15054.png	 9x8=?
15055.png	 1+8=?
15056.png	 7-1=?
15057.png	 5x0=?
15058.png	 7x0=?
15059.png	 0+5=?
15060.png	 7+8=?
15061.png	 6x7=?
15062.png	 7-8=?
15063.png	 1x6=?
15064.png	 7+3=?
15065.png	 1-6=?
15066.png	 8-1=?
15067.png	 2+8=?
15068.png	 2x1=?
15069.png	 4-4=?
15070.png	 1+5=?
15071.png	 1+3=?
15072.png	 6x5=?
15073.png	 1x2=?
15074.png	 5+9=?
15075.png	 9-5=?
15076.png	 8-8=?
15077.png	 0x0=?
15078.png	 4+5=?
15079.png	 5x3=?
15080.png	 1+8=?
15081.png	 9+5=?
15082.png	 8x4=?
15083.png	 1-6=?
15084.png	 7-1=?
15085.png	 7+6=?
15086.png	 2+2=?
15087.png	 8x1=?
15088.png	 0-4=?
15089.png	 0x8=?
15090.png	 9-1=?
15091.png	 6-3=?
15092.png	 8-6=?
15093.png	 3+4=?
15094.png	 3+1=?
15095.png	 2x6=?
15096.png	 0-1=?
15097.png	 2-8=?
15098.png	 4+9=?
15099.png	 3x6=?
15100.png	 5+8=?
15101.png	 3x0=?
15102.png	 2-8=?
15103.png	 5x8=?
15104.png	 3+9=?
15105.png	 6+5=?
15106.png	 4-6=?
15107.png	 5-8=?
15108.png	 0-7=?
15109.png	 3-4=?
15110.png	 1-0=?
15111.png	 2+5=?
15112.png	 3+4=?
15113.png	 3-0=?
15114.png	 2+4=?
15115.png	 2-5=?
15116.png	 6-2=?
15117.png	 5x3=?
15118.png	 6+9=?
15119.png	 7-1=?
15120.png	 1-8=?
15121.png	 4x7=?
15122.png	 6-2=?
15123.png	 2x4=?
15124.png	 5+9=?
15125.png	 4-4=?
15126.png	 5x3=?
15127.png	 3-4=?
15128.png	 8+9=?
15129.png	 9x5=?
15130.png	 8+4=?
15131.png	 2+8=?
15132.png	 9+4=?
15133.png	 6x4=?
15134.png	 6x9=?
15135.png	 0+8=?
15136.png	 2+0=?
15137.png	 2-0=?
15138.png	 3-9=?
15139.png	 1+2=?
15140.png	 9+0=?
15141.png	 5x9=?
15142.png	 1-9=?
15143.png	 0-6=?
15144.png	 8+2=?
15145.png	 6x3=?
15146.png	 7-3=?
15147.png	 4+8=?
15148.png	 7x2=?
15149.png	 9-7=?
15150.png	 4x8=?
15151.png	 0+3=?
15152.png	 3+8=?
15153.png	 1+4=?
15154.png	 9x1=?
15155.png	 4+8=?
15156.png	 0+2=?
15157.png	 2-0=?
15158.png	 6x8=?
15159.png	 4-3=?
15160.png	 0-7=?
15161.png	 8x5=?
15162.png	 5+3=?
15163.png	 2x4=?
15164.png	 9-2=?
15165.png	 9-0=?
15166.png	 1+8=?
15167.png	 3-4=?
15168.png	 9-2=?
15169.png	 8x4=?
15170.png	 4+3=?
15171.png	 8x6=?
15172.png	 1-9=?
15173.png	 7-4=?
15174.png	 0x1=?
15175.png	 4-1=?
15176.png	 7x1=?
15177.png	 2-2=?
15178.png	 1x0=?
15179.png	 7+1=?
15180.png	 4x2=?
15181.png	 6x9=?
15182.png	 8x2=?
15183.png	 2+2=?
15184.png	 1x3=?
15185.png	 6+5=?
15186.png	 5x5=?
15187.png	 5+4=?
15188.png	 4+8=?
15189.png	 5+2=?
15190.png	 8-8=?
15191.png	 5-0=?
15192.png	 9-0=?
15193.png	 2x9=?
15194.png	 7-3=?
15195.png	 2+0=?
15196.png	 4-0=?
15197.png	 1-8=?
15198.png	 6+3=?
15199.png	 9-2=?
15200.png	 2+0=?
15201.png	 7x9=?
15202.png	 1+3=?
15203.png	 5+1=?
15204.png	 5x2=?
15205.png	 8-5=?
15206.png	 6-1=?
15207.png	 9+5=?
15208.png	 6+8=?
15209.png	 4+0=?
15210.png	 7x5=?
15211.png	 4-0=?
15212.png	 7-9=?
15213.png	 1+0=?
15214.png	 4-9=?
15215.png	 5x7=?
15216.png	 0x0=?
15217.png	 7x2=?
15218.png	 2-9=?
15219.png	 4-6=?
15220.png	 7+1=?
15221.png	 8-9=?
15222.png	 3+6=?
15223.png	 5-9=?
15224.png	 1-3=?
15225.png	 1+2=?
15226.png	 8x7=?
15227.png	 9-3=?
15228.png	 5-5=?
15229.png	 8-8=?
15230.png	 9-9=?
15231.png	 2-3=?
15232.png	 7+0=?
15233.png	 3-9=?
15234.png	 2-4=?
15235.png	 6+2=?
15236.png	 1+1=?
15237.png	 8-3=?
15238.png	 3x4=?
15239.png	 2-6=?
15240.png	 8x1=?
15241.png	 8+8=?
15242.png	 1x8=?
15243.png	 3-0=?
15244.png	 9-9=?
15245.png	 7x6=?
15246.png	 6x7=?
15247.png	 0+6=?
15248.png	 2x7=?
15249.png	 7-7=?
15250.png	 1+2=?
15251.png	 7x1=?
15252.png	 0+6=?
15253.png	 8x3=?
15254.png	 2+8=?
15255.png	 9-6=?
15256.png	 0+3=?
15257.png	 3x5=?
15258.png	 7x7=?
15259.png	 4-5=?
15260.png	 8-2=?
15261.png	 2-4=?
15262.png	 7x7=?
15263.png	 6x6=?
15264.png	 0x3=?
15265.png	 4-0=?
15266.png	 9+9=?
15267.png	 9-8=?
15268.png	 1x8=?
15269.png	 1+9=?
15270.png	 8x7=?
15271.png	 0+6=?
15272.png	 1+0=?
15273.png	 0x1=?
15274.png	 0-1=?
15275.png	 2x5=?
15276.png	 9+1=?
15277.png	 9+7=?
15278.png	 9+2=?
15279.png	 0-9=?
15280.png	 7x2=?
15281.png	 2-0=?
15282.png	 9+4=?
15283.png	 9-2=?
15284.png	 9x3=?
15285.png	 1+8=?
15286.png	 2x2=?
15287.png	 3x1=?
15288.png	 0x9=?
15289.png	 8+6=?
15290.png	 5-8=?
15291.png	 8x4=?
15292.png	 4x7=?
15293.png	 7-3=?
15294.png	 2+5=?
15295.png	 2+2=?
15296.png	 0+2=?
15297.png	 2+2=?
15298.png	 3-6=?
15299.png	 4+9=?
15300.png	 2-6=?
15301.png	 8x4=?
15302.png	 0x7=?
15303.png	 6+8=?
15304.png	 8+3=?
15305.png	 0-1=?
15306.png	 0+8=?
15307.png	 5-8=?
15308.png	 9+4=?
15309.png	 6-7=?
15310.png	 3-1=?
15311.png	 0-9=?
15312.png	 2-1=?
15313.png	 0-0=?
15314.png	 8-3=?
15315.png	 6x8=?
15316.png	 8-1=?
15317.png	 2+8=?
15318.png	 4-3=?
15319.png	 0-5=?
15320.png	 6-3=?
15321.png	 1+8=?
15322.png	 0+8=?
15323.png	 4-4=?
15324.png	 0-9=?
15325.png	 6x7=?
15326.png	 1-6=?
15327.png	 8-1=?
15328.png	 0x7=?
15329.png	 6-9=?
15330.png	 3-6=?
15331.png	 3+7=?
15332.png	 4-4=?
15333.png	 3-2=?
15334.png	 3+2=?
15335.png	 8-1=?
15336.png	 0x4=?
15337.png	 0-5=?
15338.png	 4x6=?
15339.png	 9-4=?
15340.png	 2+3=?
15341.png	 1-8=?
15342.png	 7-3=?
15343.png	 6-5=?
15344.png	 3-3=?
15345.png	 5+2=?
15346.png	 0+9=?
15347.png	 2+0=?
15348.png	 8-6=?
15349.png	 6-4=?
15350.png	 6+3=?
15351.png	 1-5=?
15352.png	 9+4=?
15353.png	 8-2=?
15354.png	 3x9=?
15355.png	 0+0=?
15356.png	 8+0=?
15357.png	 1-9=?
15358.png	 3x8=?
15359.png	 6x5=?
15360.png	 2-4=?
15361.png	 9x0=?
15362.png	 6-8=?
15363.png	 5+0=?
15364.png	 0-8=?
15365.png	 3+2=?
15366.png	 7+6=?
15367.png	 8x7=?
15368.png	 4+3=?
15369.png	 3-1=?
15370.png	 6+0=?
15371.png	 2+7=?
15372.png	 0x6=?
15373.png	 6x2=?
15374.png	 1+9=?
15375.png	 5+7=?
15376.png	 8+9=?
15377.png	 5+7=?
15378.png	 8-5=?
15379.png	 8+7=?
15380.png	 2x7=?
15381.png	 6+3=?
15382.png	 0x9=?
15383.png	 0-6=?
15384.png	 4+2=?
15385.png	 1-2=?
15386.png	 9x0=?
15387.png	 4+2=?
15388.png	 0x8=?
15389.png	 9-3=?
15390.png	 9-9=?
15391.png	 2+2=?
15392.png	 6x8=?
15393.png	 1x2=?
15394.png	 6+6=?
15395.png	 4x5=?
15396.png	 9x6=?
15397.png	 7-9=?
15398.png	 8-4=?
15399.png	 6+5=?
15400.png	 3x2=?
15401.png	 3+4=?
15402.png	 5-2=?
15403.png	 3x7=?
15404.png	 5x5=?
15405.png	 2x4=?
15406.png	 4-8=?
15407.png	 4x8=?
15408.png	 0+8=?
15409.png	 9x1=?
15410.png	 2x6=?
15411.png	 1+8=?
15412.png	 1x0=?
15413.png	 5+6=?
15414.png	 8x2=?
15415.png	 6-3=?
15416.png	 8-1=?
15417.png	 2-7=?
15418.png	 8x8=?
15419.png	 2-9=?
15420.png	 3x5=?
15421.png	 2+8=?
15422.png	 3-3=?
15423.png	 1+6=?
15424.png	 7x0=?
15425.png	 4+7=?
15426.png	 8-7=?
15427.png	 2-6=?
15428.png	 9-9=?
15429.png	 7-8=?
15430.png	 6x9=?
15431.png	 7+7=?
15432.png	 0x2=?
15433.png	 3-8=?
15434.png	 3+6=?
15435.png	 6-8=?
15436.png	 9x0=?
15437.png	 0+3=?
15438.png	 8x2=?
15439.png	 8+6=?
15440.png	 9-9=?
15441.png	 5-9=?
15442.png	 4+4=?
15443.png	 0+9=?
15444.png	 5-5=?
15445.png	 3+4=?
15446.png	 0x2=?
15447.png	 3+4=?
15448.png	 7+6=?
15449.png	 5-0=?
15450.png	 6x0=?
15451.png	 9-3=?
15452.png	 5+0=?
15453.png	 2-7=?
15454.png	 1-3=?
15455.png	 8-7=?
15456.png	 4x0=?
15457.png	 6-3=?
15458.png	 7+9=?
15459.png	 0-7=?
15460.png	 1x2=?
15461.png	 3+0=?
15462.png	 1x0=?
15463.png	 8+6=?
15464.png	 2+0=?
15465.png	 0-9=?
15466.png	 3+7=?
15467.png	 2-9=?
15468.png	 0+8=?
15469.png	 3-4=?
15470.png	 5-5=?
15471.png	 3-4=?
15472.png	 5-6=?
15473.png	 0x5=?
15474.png	 7-6=?
15475.png	 5+5=?
15476.png	 9+6=?
15477.png	 2-9=?
15478.png	 1+5=?
15479.png	 1-2=?
15480.png	 1-5=?
15481.png	 7+1=?
15482.png	 2x4=?
15483.png	 6-2=?
15484.png	 6-8=?
15485.png	 7-9=?
15486.png	 4x0=?
15487.png	 3x8=?
15488.png	 4-5=?
15489.png	 1+2=?
15490.png	 3+0=?
15491.png	 7+4=?
15492.png	 7-9=?
15493.png	 8-4=?
15494.png	 5+8=?
15495.png	 0x7=?
15496.png	 3+3=?
15497.png	 0-2=?
15498.png	 4-6=?
15499.png	 5x1=?
15500.png	 5-3=?
15501.png	 4x6=?
15502.png	 8+9=?
15503.png	 4+3=?
15504.png	 3x4=?
15505.png	 9+3=?
15506.png	 9+0=?
15507.png	 5+1=?
15508.png	 4-2=?
15509.png	 0-0=?
15510.png	 7x5=?
15511.png	 8-4=?
15512.png	 6x8=?
15513.png	 9x4=?
15514.png	 2x1=?
15515.png	 1x9=?
15516.png	 7+6=?
15517.png	 4-2=?
15518.png	 3x1=?
15519.png	 6+1=?
15520.png	 1-1=?
15521.png	 4-6=?
15522.png	 3+6=?
15523.png	 4x5=?
15524.png	 6x3=?
15525.png	 0x4=?
15526.png	 6+1=?
15527.png	 1+3=?
15528.png	 2-3=?
15529.png	 9x0=?
15530.png	 9-0=?
15531.png	 5+0=?
15532.png	 8+0=?
15533.png	 7+5=?
15534.png	 7x3=?
15535.png	 7x1=?
15536.png	 0x9=?
